id;resource_name;resource_type;description;contract_url;documentation_url;start_date;end_date
1;octavo jumble fooey;through kindhearted nocturnal;phew;forenenst ouch;righteously;2021-11-19;2021-11-20
2;interestingly;reluctantly;um eventuate bunch;happily huzzah;who ziggurat down;2021-11-19;2021-11-20
3;sojourn through joshingly;drat inasmuch;until lined sweltering;hmph daily wherever;uh-huh fairly after;2021-11-20;2021-11-19
4;pitch;carefully;tomorrow horrible;and because;where;2021-11-20;2021-11-20
5;sympathetically furthermore;standardisation randomise;on;bah;loudly gee;2021-11-19;2021-11-20
6;wire zowie;coaxingly rile huge;er fervently;an;notwithstanding yippee freely;2021-11-20;2021-11-20
7;along likewise quart;bitterly;klutzy psst;encapsulate judicious gee;fitting;2021-11-20;2021-11-19
8;slushy;seep athwart suddenly;if raspberry toward;splendid;aha;2021-11-19;2021-11-20
9;unto;huzzah;afflict fooey;seemingly;indeed utilization carelessly;2021-11-19;2021-11-20
10;the midst;cannulate awkwardly furthermore;upend amidst cumbersome;boastfully minus;annually on consequently;2021-11-19;2021-11-20
