id;alias;status;documentation_url;documentation_url_2;description;start_date;end_date;source_id;target_id
1;beautifully phooey;physically to where;psst vast whoever;dependency unfolded pancreas;stage so next;2021-11-04;2021-11-04;1;1
2;kissingly but;tart;unaware disincentivise;apud;apropos phooey miscalculate;2021-11-04;2021-11-04;2;2
3;dumbfound acceptable gah;wit typify;demanding notwithstanding drat;given circumnavigate;fluff;2021-11-03;2021-11-04;3;3
4;riding;grounded so for;displacement mimosa;within;tongue;2021-11-04;2021-11-04;4;4
5;psst wannabe;readily;diligent;far fooey aboard;more;2021-11-04;2021-11-04;5;5
6;so likely;comradeship before orange;brr thoroughly;fatally;showboat reliable ah;2021-11-04;2021-11-03;6;6
7;plush tempo;likewise;brr gee;once;while far-off urgently;2021-11-04;2021-11-04;7;7
8;barring hence;whereas blindly um;insulate failing;subsume;upward identical questioningly;2021-11-04;2021-11-04;8;8
9;corral dishwasher beneath;since aha;given anenst;jabber vivacious childbirth;wildly along pork;2021-11-04;2021-11-04;9;9
10;design;hungrily burdensome;fooey;idolize;generally judgementally;2021-11-04;2021-11-04;10;10
